time,open,high,low,close,tick_volume,spread,real_volume
2025-03-14 15:25:00+00:00,3.82625,3.8289,3.82585,3.82723,432,350,0
2025-03-14 15:30:00+00:00,3.82728,3.82875,3.826,3.82658,713,350,0
2025-03-14 15:35:00+00:00,3.82658,3.8277,3.8259499999999997,3.82617,658,350,0
2025-03-14 15:40:00+00:00,3.82631,3.82991,3.82592,3.82991,611,350,0
2025-03-14 15:45:00+00:00,3.82991,3.8363,3.8296099999999997,3.83479,772,350,0
2025-03-14 15:50:00+00:00,3.83479,3.83843,3.8337,3.83705,736,350,0
2025-03-14 15:55:00+00:00,3.83705,3.84275,3.83695,3.842,647,350,0
2025-03-14 16:00:00+00:00,3.8409,3.8427,3.8372,3.8373,900,350,0
2025-03-14 16:05:00+00:00,3.83735,3.8377499999999998,3.8345599999999997,3.83541,758,350,0
2025-03-14 16:10:00+00:00,3.83541,3.8366,3.8336,3.83489,590,350,0
2025-03-14 16:15:00+00:00,3.83489,3.83515,3.83338,3.83486,434,350,0
2025-03-14 16:20:00+00:00,3.83486,3.83534,3.83354,3.83488,568,350,0
2025-03-14 16:25:00+00:00,3.83488,3.8351100000000002,3.83305,3.83499,547,350,0
2025-03-14 16:30:00+00:00,3.83499,3.8395200000000003,3.8338,3.8385,627,350,0
2025-03-14 16:35:00+00:00,3.8385,3.8398,3.83575,3.83615,714,350,0
2025-03-14 16:40:00+00:00,3.83615,3.83625,3.83355,3.8337,623,350,0
2025-03-14 16:45:00+00:00,3.8337,3.83677,3.8333,3.83664,471,350,0
2025-03-14 16:50:00+00:00,3.83664,3.83685,3.83445,3.83455,399,350,0
2025-03-14 16:55:00+00:00,3.83455,3.8375,3.83435,3.8358,540,350,0
2025-03-14 17:00:00+00:00,3.8358,3.8396,3.83575,3.83885,539,350,0
2025-03-14 17:05:00+00:00,3.8388,3.8402,3.83845,3.83995,479,350,0
2025-03-14 17:10:00+00:00,3.84,3.84236,3.83965,3.84118,473,350,0
2025-03-14 17:15:00+00:00,3.84113,3.84113,3.83737,3.83804,457,350,0
2025-03-14 17:20:00+00:00,3.83804,3.8385,3.83705,3.83753,414,350,0
2025-03-14 17:25:00+00:00,3.8376099999999997,3.8426,3.8374,3.84185,625,350,0
2025-03-14 17:30:00+00:00,3.84185,3.84293,3.84035,3.84283,487,350,0
2025-03-14 17:35:00+00:00,3.84288,3.84331,3.8403,3.84215,456,350,0
2025-03-14 17:40:00+00:00,3.8421,3.84295,3.84055,3.84255,450,350,0
2025-03-14 17:45:00+00:00,3.84255,3.84448,3.84185,3.84281,444,350,0
2025-03-14 17:50:00+00:00,3.84281,3.84621,3.84085,3.84574,637,350,0
2025-03-14 17:55:00+00:00,3.84574,3.84579,3.8418900000000002,3.84277,848,350,0
2025-03-14 18:00:00+00:00,3.84277,3.84299,3.84062,3.84139,523,350,0
2025-03-14 18:05:00+00:00,3.84139,3.84177,3.8376799999999998,3.83826,383,350,0
2025-03-14 18:10:00+00:00,3.83826,3.83875,3.8374,3.83802,341,350,0
2025-03-14 18:15:00+00:00,3.83797,3.84153,3.83765,3.84116,395,350,0
2025-03-14 18:20:00+00:00,3.84116,3.8425000000000002,3.84039,3.84155,334,350,0
2025-03-14 18:25:00+00:00,3.8416,3.84293,3.841,3.84259,288,350,0
2025-03-14 18:30:00+00:00,3.84259,3.84259,3.8404,3.8404,381,350,0
2025-03-14 18:35:00+00:00,3.84039,3.84097,3.83935,3.83985,519,350,0
2025-03-14 18:40:00+00:00,3.8398,3.83985,3.8372,3.8381,402,350,0
2025-03-14 18:45:00+00:00,3.83806,3.83825,3.83718,3.83771,227,350,0
2025-03-14 18:50:00+00:00,3.83771,3.83845,3.83752,3.8382199999999997,190,350,0
2025-03-14 18:55:00+00:00,3.83827,3.83942,3.83717,3.83942,245,350,0
2025-03-14 19:00:00+00:00,3.83942,3.84106,3.83942,3.8404,368,350,0
2025-03-14 19:05:00+00:00,3.84035,3.8406000000000002,3.83865,3.83918,301,350,0
2025-03-14 19:10:00+00:00,3.83923,3.83963,3.83845,3.83955,220,350,0
2025-03-14 19:15:00+00:00,3.83949,3.83987,3.83868,3.83978,280,350,0
2025-03-14 19:20:00+00:00,3.83973,3.8403,3.83919,3.84,282,350,0
2025-03-14 19:25:00+00:00,3.84,3.8404,3.83929,3.83975,192,350,0
2025-03-14 19:30:00+00:00,3.83975,3.84045,3.83941,3.83985,261,350,0
2025-03-14 19:35:00+00:00,3.8398,3.8407,3.83887,3.83925,341,350,0
2025-03-14 19:40:00+00:00,3.83925,3.8415,3.83925,3.841,324,350,0
2025-03-14 19:45:00+00:00,3.841,3.8435,3.84055,3.84338,149,350,0
2025-03-14 19:50:00+00:00,3.84338,3.84401,3.84294,3.84305,189,350,0
2025-03-14 19:55:00+00:00,3.84316,3.8435,3.8424,3.8430999999999997,170,350,0
2025-03-14 20:00:00+00:00,3.8430999999999997,3.8432500000000003,3.8413500000000003,3.84183,205,350,0
2025-03-14 20:05:00+00:00,3.84183,3.84475,3.84159,3.8442,323,350,0
2025-03-14 20:10:00+00:00,3.8442,3.8445,3.8438,3.8442499999999997,477,350,0
2025-03-14 20:15:00+00:00,3.8442,3.84455,3.8430999999999997,3.84335,238,350,0
2025-03-14 20:20:00+00:00,3.8433,3.8439,3.84307,3.8439,202,350,0
2025-03-14 20:25:00+00:00,3.8438,3.8456099999999998,3.84355,3.84539,196,350,0
2025-03-14 20:30:00+00:00,3.84539,3.84602,3.84503,3.84574,67,350,0
2025-03-14 20:35:00+00:00,3.84574,3.84574,3.84348,3.84348,76,350,0
2025-03-14 20:40:00+00:00,3.84348,3.8445,3.84294,3.8445,86,350,0
2025-03-14 20:45:00+00:00,3.8445,3.84476,3.84306,3.84456,85,350,0
2025-03-14 20:50:00+00:00,3.84456,3.84511,3.84397,3.84424,72,350,0
2025-03-14 20:55:00+00:00,3.84413,3.84464,3.84049,3.84176,452,350,0
2025-03-14 21:00:00+00:00,3.8418900000000002,3.8430400000000002,3.84112,3.8425700000000003,467,350,0
2025-03-14 21:05:00+00:00,3.8425700000000003,3.84351,3.84229,3.84351,85,350,0
2025-03-14 21:10:00+00:00,3.84351,3.8438,3.84218,3.8424899999999997,61,350,0
2025-03-14 21:15:00+00:00,3.8424899999999997,3.84341,3.84224,3.84289,50,350,0
2025-03-14 21:20:00+00:00,3.84289,3.84373,3.84289,3.84334,33,350,0
2025-03-14 21:25:00+00:00,3.84336,3.84409,3.84273,3.84345,42,350,0
2025-03-14 21:30:00+00:00,3.84345,3.84345,3.84269,3.84332,31,350,0
2025-03-14 21:35:00+00:00,3.84332,3.84348,3.84274,3.84337,33,350,0
2025-03-14 21:40:00+00:00,3.84337,3.84347,3.84292,3.84334,38,350,0
2025-03-14 21:45:00+00:00,3.84339,3.8438,3.84246,3.8430400000000002,60,350,0
2025-03-14 21:50:00+00:00,3.8430400000000002,3.84356,3.84279,3.8434,64,350,0
2025-03-14 21:55:00+00:00,3.8434,3.8436,3.8418,3.84223,154,350,0
2025-03-14 22:00:00+00:00,3.84218,3.8432399999999998,3.84197,3.84293,336,350,0
2025-03-14 22:05:00+00:00,3.84322,3.84326,3.84248,3.84278,70,350,0
2025-03-14 22:10:00+00:00,3.84283,3.8434,3.8426299999999998,3.8426299999999998,52,350,0
2025-03-14 22:15:00+00:00,3.84268,3.84328,3.84233,3.84269,49,350,0
2025-03-14 22:20:00+00:00,3.84269,3.84288,3.842,3.8424,45,350,0
2025-03-14 22:25:00+00:00,3.84284,3.8443899999999998,3.84228,3.8442499999999997,64,350,0
2025-03-14 22:30:00+00:00,3.8442499999999997,3.84463,3.84339,3.84404,47,350,0
2025-03-14 22:35:00+00:00,3.84397,3.84397,3.84247,3.84247,26,350,0
2025-03-14 22:40:00+00:00,3.84247,3.84462,3.84237,3.8438,41,350,0
2025-03-14 22:45:00+00:00,3.8438,3.8442,3.8416,3.8429,198,460,0
2025-03-14 22:50:00+00:00,3.8429,3.8438,3.8403,3.841,1825,560,0
2025-03-14 22:55:00+00:00,3.841,3.8427,3.8175,3.8175,826,620,0
2025-03-17 09:30:00+00:00,3.84165,3.84478,3.84115,3.84363,366,350,0
2025-03-17 09:35:00+00:00,3.84368,3.84468,3.84275,3.84404,312,350,0
2025-03-17 09:40:00+00:00,3.84404,3.84438,3.84258,3.84337,290,350,0
